"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Cyfip2",9.97821727892061e-07,-0.183548927750185,0.943,0.805,0.138
"Smchd1",1.15350355178218e-06,-0.039388835469242,0.443,0.307,0.136
"Aldh1a3",2.05389582366357e-10,-0.197998260881467,0.529,0.394,0.135
"Rasa3",1.95778792575366e-08,-0.116199883951949,0.414,0.279,0.135
"Cadm2",1.72600511027012e-11,-0.503119901769541,0.9,0.766,0.134
"Stk39",1.70071660330389e-08,-0.082115672394121,0.543,0.411,0.132
"A830010M20Rik",3.61137279216342e-09,-0.0320501057256734,0.386,0.254,0.132
"Snrk",1.69550061545418e-06,-0.226000544537093,0.857,0.726,0.131
"Ap2m1",3.56871278507062e-10,-0.242958291860422,0.843,0.713,0.13
"Cpne7",9.4262272624216e-08,-0.324189374238773,0.914,0.786,0.128
"Crocc",2.20544232921055e-06,-0.0392527700324516,0.4,0.274,0.126
"Rab11a",1.72412658026871e-06,-0.138301024409825,0.843,0.718,0.125
"Gm42970",1.78103472331358e-06,-0.0205162942511985,0.257,0.132,0.125
"Tssc4",1.88583610890135e-06,-0.122606521266901,0.643,0.521,0.122
"Gm43766",5.40829486445032e-07,-0.0184877164664239,0.443,0.322,0.121
"Pclo",1.62974720455415e-07,0.298681965026464,1,0.88,0.12
"Arrb2",5.40981774778452e-07,-0.0881650827878137,0.514,0.394,0.12
"Cdk15",8.78156955629457e-07,0.018368489652316,0.186,0.067,0.119
"Vsnl1",5.24829681058049e-11,0.294513858612024,0.986,0.868,0.118
"Prkacb",1.25996258592498e-08,-0.238810082363257,0.971,0.853,0.118
"X4931406C07Rik",4.74028744650318e-07,-0.0157709223728751,0.357,0.239,0.118
"Pcp4",1.53942044615449e-06,-0.258940182679275,0.829,0.711,0.118
"Ccnh",7.05382255712662e-08,-0.0856550093159418,0.529,0.414,0.115
"Tab2",8.68947368381921e-07,-0.139264265149643,0.486,0.374,0.112
"Timeless",1.86449200822295e-07,-0.00919799424582848,0.386,0.277,0.109
"Ndufs5",7.35207837193141e-07,-0.115597557799572,0.643,0.534,0.109
"Sdha",1.54763321156475e-06,-0.350875268760307,0.957,0.848,0.109
"Rb1",1.78538632494872e-07,0.352663456657205,0.229,0.122,0.107
"Atox1",4.3890890998931e-07,-0.157995719823382,0.686,0.581,0.105
"Samd4b",2.62813671604953e-07,-0.0406346665557597,0.343,0.239,0.104
"Ppp3ca",1.34735503815108e-10,-0.361163688736999,0.957,0.853,0.104
"Pfdn1",6.38384458885689e-08,-0.203760764541939,0.829,0.726,0.103
"Napb",8.10607598214483e-07,-0.260798581911226,0.943,0.84,0.103
"Txndc9",8.34753317504516e-07,-0.156711993748668,0.586,0.484,0.102
"Pik3r3",5.19985068435195e-08,-0.0271280657997491,0.271,0.17,0.101
"Capn10",1.0682597444766e-06,-0.0673971166582741,0.514,0.414,0.1
"Gm43331",9.08894349097642e-07,0.0770414939869938,0.114,0.015,0.099
"Tanc1",3.27634454997716e-08,-0.116176361339765,0.357,0.259,0.098
"Enah",2.20976021269829e-06,-0.229119269196258,0.814,0.716,0.098
"Zfp185",4.26852207469126e-07,0.120784797139534,0.114,0.017,0.097
"Gtf2a2",1.03453353401133e-06,-0.107612288247487,0.457,0.364,0.093
"Kdm5c",1.63548653093437e-08,-0.0308620486732257,0.3,0.207,0.093
"Ccz1",2.23865914369507e-06,-0.13850471642453,0.629,0.536,0.093
"X9330158H04Rik",1.57233237650461e-07,0.234193592898353,0.214,0.122,0.092
"Tyw1",1.23149208850232e-06,0.391290559680199,0.257,0.165,0.092
"Paics",1.08747146172418e-06,-0.136052157431886,0.586,0.494,0.092
"Ramp1",2.04208092819643e-06,-0.018846843955653,0.157,0.07,0.087
"Camk2n1",1.1045075835658e-06,-0.247901352632795,0.957,0.87,0.087
"Ddx1",1.32537964376287e-08,-0.234390023178951,0.629,0.544,0.085
"Otud4",1.93667663695178e-06,-0.0523990376933743,0.286,0.202,0.084
"Tex9",2.31211190342313e-06,-0.0177264686383375,0.157,0.075,0.082
"Atp8a1",9.88099576901241e-08,-0.387682609960644,0.914,0.833,0.0810000000000001
"Syt4",6.72543516491223e-07,-0.274526027783689,0.986,0.905,0.081
"Chchd10",4.47576436303126e-08,-0.264885496422248,0.929,0.85,0.0790000000000001
"Nup85",2.71483628308221e-08,-0.11532166898444,0.371,0.292,0.079
"Tor1b",1.44157809162081e-06,-0.0920512039147167,0.3,0.222,0.078
"Raph1",2.79320878885251e-08,-0.339660846487044,0.9,0.823,0.0770000000000001
"Gm5141",2.29646325921644e-06,-0.0317181474251064,0.129,0.052,0.077
